Zip,Median,Mean,Pop
60950,63819.9188,68799.1833,12168
60954,51435.8492,58996.9684,6104
60958,25045,28750,2135
60964,53068.6787,65464.3326,4968
61001,49107,57254,1179
61006,60059.2848,68265.9588,1759
61007,56361.0217,63568.3758,534
61008,57438.3107,69269.8182,34311
61010,61210.811,72245.3114,8032
61011,74700.9165,83732.9177,2945
61014,53504.97,66988.3453,1173
61015,70450.8464,80143.216,946
61016,72331.1763,80833.3863,4837
61019,56425.262,63183.9051,3550
61020,59459.0819,61524.2893,3108
61021,47553.5682,61140.7615,23745
61024,62165.9347,70563.5394,2620
61025,53239,60041,4867
61028,44875.2159,57088.9072,1989
61030,56939,61643,2205
61032,41113.8434,50951.3802,31651
61036,54733.4262,71737.4678,6821
61038,74710.254,87477.634,1354
61039,53895.6398,64561.0657,802
61042,55625,60288,527
61046,49901.6548,62177.8393,2831
61047,71555.7124,81125.9842,1711
61048,45610.838,55577.34,4360
61051,56717.962,70658.476,1574
61052,59483,61426,1148
61054,52373.2344,57291.5002,3973
61060,54979.9872,57766.8272,1432
61061,54905.9135,63410.0766,7009
61062,45179.6811,56174.0827,1983
61063,58405.1456,65755.1347,4132
61064,50141.4998,61233.6302,3868
61065,75793.7176,90142.5781,11156
61067,53341.7809,64262.7094,811
61068,51056.4693,57471.0575,14858
61070,52768,58486,1130
61071,42467.0865,51586.1053,14381
61072,68282.2373,77538.55,11797
61073,75533.6755,91810.4856,20052
61074,37724.0477,45786.1073,4431
61078,50540.3247,62081.177,1374
61080,60285.2196,67500.7685,10599
61081,45830.9739,57731.4769,21934
61084,65180.6078,71432.0467,3175
61085,45785.8818,54886.8071,3443
61087,49083.5664,57240.3344,1670
61088,68568.3986,80420.1913,6020
61101,29089.9751,39462.957,21593
61102,35906.8233,44757.2215,20538
61103,39840.2674,50193.2645,24578
61104,25720.4585,30876.331,19269
61107,55081.1614,72399.1439,30439
61108,49016.8161,58523.9162,28550
61109,46531.9843,53929.8744,28331
61111,53941.5189,60535.0896,23492
61114,67948.0012,92023.8451,15776
61115,53829.8651,59941.7669,23180
61250,49941.3199,57275.1241,2737
61252,51486.2081,63828.953,5436
61261,50438.1318,57606.2607,975
61270,49938.5861,60058.2604,7306
61277,46115.4292,57035.0191,3355
