"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"35",2014-01-07,140567,"Fire","CHICAGO","IL",60607,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2014-01-07,140568,"Fire","HANOVER PARK","IL",60133,"DuPage",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"37",2014-01-08,140569,"Fire","CHICAGO","IL",60614,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2014-01-08,140570,"Fire","JOLIET","IL",60433,"Will",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"39",2014-01-08,140571,"Fire","CHICAGO","IL",60617,"Cook",NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
"40",2014-01-08,140572,"Fire","MANHATTAN","IL",60442,"Will",NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,NA,NA
"41",2014-01-08,140573,"Fire","AROMA PARK","IL",NA,"Kankakee",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"42",2014-01-08,140574,"Fire","CHICAGO","IL",60652,"Cook",NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
"43",2014-01-09,140575,"Fire","CHICAGO","IL",60609,"Cook",NA,NA,NA,NA,NA,NA,NA,17,0,5,NA,NA,NA,NA,NA,NA
"44",2014-01-09,140576,"Fire","CHICAGO","IL",60644,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2014-01-09,140577,"Fire","CHICAGO","IL",60624,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2014-01-09,140578,"Fire","CHICAGO","IL",60637,"Cook",NA,NA,NA,NA,NA,NA,NA,25,0,7,NA,NA,NA,NA,NA,NA
"47",2014-01-09,140579,"Fire","CHICAGO","IL",60639,"Cook",NA,NA,NA,NA,NA,NA,NA,10,0,2,NA,NA,NA,NA,NA,NA
"48",2014-01-09,140580,"Fire","CHICAGO","IL",60639,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2014-01-09,140581,"Fire","CHICAGO","IL",60618,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"50",2014-01-09,140582,"Fire","ALSIP","IL",60803,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2014-01-09,140583,"Fire","BURR RIDGE","IL",60527,"DuPage",NA,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,NA,NA
"52",2014-01-09,140584,"Fire","CHICAGO","IL",60623,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2014-01-10,140585,"Fire","CHICAGO","IL",60644,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2014-01-10,140586,"Fire","CHICAGO","IL",60651,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2014-01-10,140587,"Fire","GARY","IN",46406,"Lake",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"56",2014-01-10,140588,"Fire","MANTENO","IL",60950,"Kankakee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2014-01-10,140589,"Fire","CHICAGO","IL",60636,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"58",2014-01-10,140590,"Fire","CHICAGO","IL",60628,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"59",2014-01-11,140591,"Fire","CHICAGO","IL",60623,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2014-01-11,140592,"Fire","CHICAGO","IL",60614,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2014-01-11,140593,"Fire","LOWELL, IN","IN",46356,"Lake",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"62",2014-01-11,140594,"Fire","CHICAGO","IL",60620,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"63",2014-01-12,140595,"Fire","ROBBINS","IL",60472,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2014-01-12,140596,"Fire","MCHENRY","IL",60050,"McHenry",NA,NA,NA,NA,NA,NA,NA,30,0,19,NA,NA,NA,NA,NA,NA
"65",2014-01-12,140597,"Fire","CHICAGO","IL",60647,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2014-01-12,140598,"Fire","PEMBROKE TWNSHP","IL",60954,"Kankakee",NA,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,NA,NA
"67",2014-01-13,140599,"Fire","CHICAGO","IL",60827,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"68",2014-01-13,140600,"Fire","CHICAGO","IL",60619,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2014-01-14,140601,"Fire","CHICAGO","IL",60619,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"70",2014-01-14,140602,"Fire","CHICAGO","IL",60619,"Cook",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"71",2014-01-14,140603,"Fire","GARY","IN",46404,"Lake",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"72",2014-01-14,140604,"Fire","BRADLEY","IL",60915,"Kankakee",NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA
"73",2014-01-14,140605,"Fire","CHICAGO","IL",60623,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2014-01-14,140606,"Fire","EAST CHICAGO, IN ","IN",46312,"Lake",NA,NA,NA,NA,NA,NA,NA,7,0,3,NA,NA,NA,NA,NA,NA
"75",2014-01-15,140607,"Fire","CHICAGO","IL",60618,"Cook",0,2,1,0,0,0,0,3,0,3,NA,2014-01-15 18:10:00,2014-01-15 18:15:00,2014-01-15 19:09:00,2014-01-15 20:02:00,2014-01-15 20:22:00
"76",2014-01-15,140608,"Fire","KANKAKEE","IL",60901,"Kankakee",0,0,1,0,0,0,0,1,0,1,NA,2014-01-15 22:45:00,2014-01-15 22:50:00,2014-01-15 22:55:00,2014-01-15 23:48:00,2014-01-16 00:47:00
"77",2014-01-16,140609,"Fire","Chicago","IL",60609,"Cook",0,1,0,0,0,0,0,6,0,1,1162,2014-01-16 14:35:00,2014-01-16 14:45:00,2014-01-16 15:30:00,2014-01-16 16:00:00,2014-01-16 16:55:00
"78",2014-01-16,140610,"Fire","Chicago","IL",60628,"Cook",0,1,0,0,0,0,0,4,0,1,NA,2014-01-16 17:24:00,2014-01-16 17:25:00,2014-01-16 17:30:00,2014-01-16 17:42:00,2014-01-16 18:08:00
"79",2014-01-16,140611,"Fire","Morocco","IN",47963,"Newton",1,0,0,0,0,0,0,2,3,1,1125,2014-01-16 20:00:00,NA,2014-01-17 15:33:00,2014-01-17 18:01:00,2014-01-17 19:50:00
"80",2014-01-16,140612,"Fire","Chicago","IL",60620,"Cook",0,0,1,0,0,0,0,1,2,1,NA,2014-01-17 03:19:00,NA,2014-01-17 03:30:00,2014-01-17 04:05:00,2014-01-17 04:35:00
"81",2014-01-17,140615,"Fire","Cicero","IL",60804,"Cook",0,1,0,0,0,0,0,6,1,1,1905,2014-01-17 20:40:00,NA,2014-01-17 21:28:00,2014-01-17 23:05:00,2014-01-18 00:54:00
"82",2014-01-17,140616,"Fire","Berwyn","IL",60402,"Cook",1,0,0,0,2,2,0,2,0,1,655,2014-01-16 11:10:00,2014-01-17 09:40:00,2014-01-17 21:45:00,2014-01-18 01:37:00,2014-01-18 02:30:00
"83",2014-01-18,140618,"Fire","Chicago","IL",60644,"Cook",1,1,1,0,0,0,0,5,6,0,2130,2014-01-18 12:03:00,NA,2014-01-18 12:20:00,2014-01-18 12:54:00,2014-01-18 15:29:00
"84",2014-01-18,140619,"Fire","Chicago","IL",60651,"Cook",0,0,1,0,0,0,0,4,1,1,365,2014-01-18 16:14:00,2014-01-18 16:14:00,2014-01-18 16:20:00,2014-01-18 17:23:00,2014-01-18 19:04:00
"85",2014-01-18,140620,"Fire","Marengo","IL",60152,"McHenry",0,1,0,0,0,0,0,4,4,2,1341,2014-01-18 18:06:00,NA,2014-01-18 18:51:00,2014-01-18 19:44:00,2014-01-18 22:50:00
"86",2014-01-18,140621,"Fire","Chicago","IL",60628,"Cook",0,0,1,0,0,0,0,8,7,4,1550,2014-01-19 00:31:00,2014-01-19 01:13:00,2014-01-19 01:00:00,2014-01-19 02:28:00,2014-01-19 03:55:00
"87",2014-01-18,140622,"Fire","Chicago","IL",60657,"Cook",2,0,0,0,0,0,0,3,0,2,455,2014-01-19 01:37:00,2014-01-20 15:04:00,2014-01-20 15:03:00,2014-01-20 17:05:00,2014-01-20 18:05:00
